ACMEPL,20260420,100000,25.80,13250
CENTRALINS,20260420,100000,41.50,10
DSHGARME,20260420,100000,113.10,151
IFIC,20260420,100000,5.20,250
MIDLANDBNK,20260420,100000,15.80,5
NAVANACNG,20260420,100000,20.50,11
PHENIXINS,20260420,100000,36.30,2
PRAGATILIF,20260420,100000,179.40,205
PTL,20260420,100000,63.00,22120
1STPRIMFMF,20260420,100000,19.70,31050
BBS,20260420,100000,12.70,2200
BDAUTOCA,20260420,100000,240.00,1
CITYBANK,20260420,100000,31.60,47170
EGEN,20260420,100000,24.00,180590
GP,20260420,100000,242.00,43
ICBEPMF1S1,20260420,100000,6.00,26900
ITC,20260420,100000,39.50,2000
JAMUNAOIL,20260420,100000,169.00,50
KEYACOSMET,20260420,100000,5.00,500
LOVELLO,20260420,100000,73.60,28150
MERCANBANK,20260420,100000,8.80,25660
MHSML,20260420,100000,18.00,26750
NTC,20260420,100000,175.20,1
PF1STMF,20260420,100000,7.80,262950
PIONEERINS,20260420,100000,62.90,19500
RELIANCE1,20260420,100000,11.70,1000
RINGSHINE,20260420,100000,3.50,1
ROBI,20260420,100000,28.50,1375
RUNNERAUTO,20260420,100000,44.80,63460
SAIFPOWER,20260420,100000,6.80,50
STANDBANKL,20260420,100000,5.10,2
ALIF,20260420,100000,5.00,50001
BENGALWTL,20260420,100000,23.80,25551
EBL1STMF,20260420,100000,3.80,200
ETL,20260420,100000,10.30,138211
FEKDIL,20260420,100000,14.40,30
GOLDENSON,20260420,100000,15.70,34100
IDLC,20260420,100000,37.60,950
JANATAINS,20260420,100000,37.60,80302
KAY&QUE,20260420,100000,490.10,1700
NHFIL,20260420,100000,22.90,10
PARAMOUNT,20260420,100000,52.80,500
PHARMAID,20260420,100000,549.50,78
PLFSL,20260420,100000,3.30,2100
PREMIERLEA,20260420,100000,2.90,51202
SAIHAMCOT,20260420,100000,21.30,8050
SOUTHEASTB,20260420,100000,9.00,3000
SPCERAMICS,20260420,100000,21.60,19301
SUNLIFEINS,20260420,100000,68.00,2509
TECHNODRUG,20260420,100000,38.60,74902
AGNISYSL,20260420,100000,21.80,201
CITYGENINS,20260420,100000,99.90,10
DOREENPWR,20260420,100000,28.00,14
DSSL,20260420,100000,9.70,1000
FAMILYTEX,20260420,100000,3.20,10001
GLDNJMF,20260420,100000,6.20,1001
PREMIERBAN,20260420,100000,5.00,2000
PRIMETEX,20260420,100000,21.30,1500
QUEENSOUTH,20260420,100000,11.90,35
SPCL,20260420,100000,52.50,2860
SQURPHARMA,20260420,100000,212.10,4000
TITASGAS,20260420,100000,16.90,2003
UNIONINS,20260420,100000,35.20,500
AFCAGRO,20260420,100000,6.80,1
BATBC,20260420,100000,215.90,1132
ECABLES,20260420,100000,139.00,2200
SAFKOSPINN,20260420,100000,17.80,1
NAVANAPHAR,20260420,100000,59.00,325
ORIONINFU,20260420,100000,332.90,3982
AGRANINS,20260420,100000,22.70,8200
DOMINAGE,20260420,100000,57.90,9301
FORTUNE,20260420,100000,14.20,210
VFSTDL,20260420,100000,12.40,35050
INDEXAGRO,20260420,100000,69.50,2
ESQUIRENIT,20260420,100000,20.20,9
SAIHAMTEX,20260420,100000,18.20,5
CAPITECGBF,20260420,100000,6.80,9001
FASFIN,20260420,100000,2.90,26328
SONALIPAPR,20260420,100000,230.20,40
AIBL1STIMF,20260420,100000,4.10,200
CAPMIBBLMF,20260420,100000,8.40,30000
SAPORTL,20260420,100000,50.70,72500
AZIZPIPES,20260420,100000,49.10,400
BBSCABLES,20260420,100000,21.00,2330
ILFSL,20260420,100000,2.90,5000
SIMTEX,20260420,100000,24.60,124595
UTTARABANK,20260420,100000,24.70,6011
ZEALBANGLA,20260420,100000,135.00,50
BDWELDING,20260420,100000,15.90,20
CAPMBDBLMF,20260420,100000,13.30,2000
EBL,20260420,100000,26.60,2005
IFIC1STMF,20260420,100000,4.00,9
MIRAKHTER,20260420,100000,37.90,66900
PEOPLESINS,20260420,100000,47.20,200
ANWARGALV,20260420,100000,95.00,6100
COPPERTECH,20260420,100000,22.70,6
EASTRNLUB,20260420,100000,1509.50,3
MATINSPINN,20260420,100000,46.00,150
SICL,20260420,100000,21.60,750
